"الرقم","الكلمة","السورة والآية","المعنى (عربي)","الكلمة (Svenska)","الآية كاملة","ترجمة الآية (Svenska)"
167,"تَحُضُّونَ","الفجر (18)","تحثون","Uppmanar","وَلَا تَحُضُّونَ عَلَىٰ طَعَامِ الْمِسْكِينِ","och inte uppmanar varandra att ge den fattige mat"
168,"تُرَاثَ","الفجر (19)","الميراث","Arvet","وَتَأْكُلُونَ التُّرَاثَ","Och ni slukar arvet"
169,"لَمًّا","الفجر (19)","جامعاً","Med hull och hår","أَكْلًا لَّمًّا","med hull och hår (girigt)"
170,"جَمًّا","الفجر (20)","كثيراً","Gränslös","وَتُحِبُّونَ الْمَالَ حُبًّا جَمًّا","och er kärlek till pengar är gränslös"
171,"دُكَّتِ","الفجر (21)","زلزلت","Skakas","كَلَّا إِذَا دُكَّتِ الْأَرْضُ دَكًّا دَكًّا","Men nej! När jorden skakas i grundvalarna, stöt på stöt"
172,"يَوْمَئِذٍ","الفجر (23)","ذلك اليوم","Den Dagen","وَجِيءَ يَوْمَئِذٍ بِجَهَنَّمَ","när helvetet den Dagen görs synligt"
173,"حِلٌّ","البلد (2)","مقيم","Bor","وَأَنتَ حِلٌّ بِهَٰذَا الْبَلَدِ","du som bor i denna Stad"
174,"كَبَدٍ","البلد (4)","مشقة","Möda","لَقَدْ خَلَقْنَا الْإِنسَانَ فِي كَبَدٍ","Vi har sannerligen skapat människan till möda och besvär"
175,"لُّبَدًا","البلد (6)","كثيراً","I mängd","أَهْلَكْتُ مَالًا لُّبَدًا","Jag har satt sprätt på pengar i mängd"
176,"النَّجْدَيْنِ","البلد (10)","الطريقين","De två vägarna","وَهَدَيْنَاهُ النَّجْدَيْنِ","och visat henne de två vägarna"
177,"اقْتَحَمَ","البلد (11)","تجاوز","Slå in på","فَلَا اقْتَحَمَ الْعَقَبَةَ","Men han ville inte slå in på den branta vägen"
178,"الْعَقَبَةَ","البلد (11)","الطريق الشاق","Den branta vägen","فَلَا اقْتَحَمَ الْعَقَبَةَ","Men han ville inte slå in på den branta vägen"
179,"فَكُّ","البلد (13)","تحرير","Lossa","فَكُّ رَقَبَةٍ","Att lossa [en slavs] bojor"
180,"مَسْغَبَةٍ","البلد (14)","مجاعة","Svält","فِي يَوْمٍ ذِي مَسْغَبَةٍ","en dag då svälten härjar"
181,"مَقْرَبَةٍ","البلد (15)","قرابة","Anförvant","يَتِيمًا ذَا مَقْرَبَةٍ","en faderlös anförvant"
182,"مَتْرَبَةٍ","البلد (16)","فقر","Nöd","مِسْكِينًا ذَا مَتْرَبَةٍ","en nödställd stackare"
183,"مُؤْصَدَةٌ","البلد (20)","مغلقة","Sluter sig","عَلَيْهِمْ نَارٌ مُّؤْصَدَةٌ","Över dem skall Elden sluta sig"
184,"تَلَاهَا","الشمس (2)","تبعها","Följer","وَالْقَمَرِ إِذَا تَلَاهَا","vid månen, som följer henne"
185,"جَلَّاهَا","الشمس (3)","أظهرها","Låter framträda","وَالنَّهَارِ إِذَا جَلَّاهَا","vid dagen, som låter den framträda"
186,"يَغْشَاهَا","الشمس (4)","يغطيها","Täcker","وَاللَّيْلِ إِذَا يَغْشَاهَا","vid natten, som täcker den"
187,"طَحَاهَا","الشمس (6)","بسطها","Brett ut","وَالْأَرْضِ وَمَا طَحَاهَا","vid jorden och Den som har brett ut den"
188,"أَلْهَمَهَا","الشمس (8)","عرفها","Ingav","فَأَلْهَمَهَا فُجُورَهَا وَتَقْوَاهَا","och ingav den dess ogudaktighet och dess gudsfruktan"
189,"زَكَّاهَا","الشمس (9)","طهرها","Håller ren","قَدْ أَفْلَحَ مَن زَكَّاهَا","helt visst skall det gå den väl i händer som håller den [själen] ren"
190,"دَسَّاهَا","الشمس (10)","أفسدها","Begraver","وَقَدْ خَابَ مَن دَسَّاهَا","men den som begraver den [i synd] är förlorad"
191,"بَطْغُوَاهَا","الشمس (11)","بطغيانها","I sitt övermod","كَذَّبَتْ ثَمُودُ بِطْغُوَاهَا","I sitt övermod förnekade [stammen] Thamud sanningen"
192,"انبَعَثَ","الشمس (12)","نهض مسرعاً","Rusade fram","إِذِ انبَعَثَ أَشْقَاهَا","då den uslaste bland dem rusade fram"
193,"عَقَرُوهَا","الشمس (14)","قتلوها","Skar av hälsenorna","فَكَذَّبُوهُ فَعَقَرُوهَا","Men de trodde honom inte utan skar av hälsenorna på stoet"
194,"دَمْدَمَ","الشمس (14)","أطبق العذاب","Lät straffet drabba","فَدَمْدَمَ عَلَيْهِمْ رَبُّهُم","då lät deras Herre straffet drabba dem alla"
195,"تَجَلَّىٰ","الليل (2)","ظهر","Lyser klart","وَالنَّهَارِ إِذَا تَجَلَّىٰ","vid dagen, när den lyser klart"
196,"شَتَّىٰ","الليل (4)","مختلف","Av skilda slag","إِنَّ سَعْيَكُمْ لَشَتَّىٰ","är er strävan sannerligen av skilda slag"
197,"اتَّقَىٰ","الليل (5)","خاف الله","Fruktar Gud","فَأَمَّا مَنْ أَعْطَىٰ وَاتَّقَىٰ","Den som ger [av sitt] och fruktar Gud"
198,"الْيُسْرَىٰ","الليل (7)","الجنة/الخير","Det lätta","فَسَنُيَسِّرُهُ لِلْيُسْرَىٰ","honom skall Vi göra det lätt att följa den lätta vägen"
199,"اسْتَغْنَىٰ","الليل (8)","بخل واستكبر","Ser sig själv som tillräcklig","وَمَن بَخِلَ وَاسْتَغْنَىٰ","men den som snålar och ser sig själv som tillräcklig"
200,"الْعُسْرَىٰ","الليل (10)","الشدة/النار","Det svåra","فَسَنُيَسِّرُهُ لِلْعُسْرَىٰ","skall Vi göra det lätt för honom att gå det svåra till mötes"
201,"تَرَدَّىٰ","الليل (11)","هلك","Faller","وَمَا يُغْنِي عَنْهُ مَالُهُ إِذَا تَرَدَّىٰ","vad har han för glädje av sin rikedom när han faller [i graven]"
202,"تَلَظَّىٰ","الليل (14)","تتوقد","Flammande","فَأَنذَرْتُكُمْ نَارًا تَلَظَّىٰ","Därför varnar Jag er för en flammande Eld"
203,"سَجَىٰ","الضحى (2)","سكن","Är stilla","وَاللَّيْلِ إِذَا سَجَىٰ","vid natten, när den är stilla"
204,"وَدَّعَكَ","الضحى (3)","تركك","Övergett","مَا وَدَّعَكَ رَبُّكَ","Din Herre har inte övergett dig"
205,"قَلَىٰ","الضحى (3)","أبغض","Hyser ovilja","وَمَا قَلَىٰ","och Han hyser inte ovilja [mot dig]"
206,"آوَىٰ","الضحى (6)","ضم ورعى","Tog hand om","أَلَمْ يَجِدْكَ يَتِيمًا فَآوَىٰ","Fann Han dig inte faderlös och tog hand om dig"
207,"عَائِلًا","الضحى (8)","فقيراً","Fattig","وَوَجَدَكَ عَائِلًا فَأَغْنَىٰ","Och fann Han dig inte fattig och gav dig vad du behövde"
208,"تَقْهَرْ","الضحى (9)","تذل","Tryck ned","فَأَمَّا الْيَتِيمَ فَلَا تَقْهَرْ","Var därför inte hård mot den faderlöse (Tryck inte ned)"
209,"تَنْهَرْ","الضحى (10)","تزجر","Kör iväg","وَأَمَّا السَّائِلَ فَلَا تَنْهَرْ","och kör inte iväg tiggaren"
210,"نَشْرَحْ","الشرح (1)","نوسع","Öppnat","أَلَمْ نَشْرَحْ لَكَ صَدْرَكَ","HAR VI inte öppnat ditt bröst"
211,"وِزْرَكَ","الشرح (2)","حملك","Börda","وَوَضَعْنَا عَنكَ وِزْرَكَ","och lättat din börda"
212,"أَنقَضَ","الشرح (3)","أثقل","Tyngde","الَّذِي أَنقَضَ ظَهْرَكَ","som tyngde din rygg"
213,"ذِكْرَكَ","الشرح (4)","اسمك","Rykte","وَرَفَعْنَا لَكَ ذِكْرَكَ","och gett dig högt rykte"
214,"فَانصَبْ","الشرح (7)","اجتهد","Sträva","فَإِذَا فَرَغْتَ فَانصَبْ","Och när du är ledig, sträva [i bön]"
215,"سِينِينَ","التين (2)","سيناء","Sinai","وَطُورِ سِينِينَ","vid Sinai berg"
216,"تَقْوِيمٍ","التين (4)","هيئة","Skapnad","لَقَدْ خَلَقْنَا الْإِنسَانَ فِي أَحْسَنِ تَقْوِيمٍ","Vi har sannerligen skapat människan i den bästa skapnad"
217,"أَسْفَلَ","التين (5)","أدنى","Lägsta","أَسْفَلَ سَافِلِينَ","den lägsta av de låga grader"
218,"مَمْنُونٍ","التين (6)","مقطوع","Tar slut","فَلَهُمْ أَجْرٌ غَيْرُ مَمْنُونٍ","väntar en lön som aldrig tar slut"
219,"عَلَقٍ","العلق (2)","دم متجمد","Grodd","خَلَقَ الْإِنسَانَ مِنْ عَلَقٍ","som har skapat människan av en grodd"
220,"الْأَكْرَمُ","العلق (3)","الكريم جداً","Den Frikostigaste","اقْرَأْ وَرَبُّكَ الْأَكْرَمُ","Läs! Din Herre är den Frikostigaste"
221,"الرُّجْعَىٰ","العلق (8)","الرجوع","Återkomsten","إِنَّ إِلَىٰ رَبِّكَ الرُّجْعَىٰ","Men till din Herre är återkomsten"
222,"الْنَّاصِيَةِ","العلق (15)","مقدمة الرأس","Luggen","لَنَسْفَعًا بِالنَّاصِيَةِ","skall Vi sannerligen släpa honom [till straffet] vid luggen"
223,"لَنَسْفَعًا","العلق (15)","لنجذبن","Släpa","لَنَسْفَعًا بِالنَّاصِيَةِ","skall Vi sannerligen släpa honom [till straffet] vid luggen"
224,"نَادِيَهُ","العلق (17)","عشيرته","Hejdukar","فَلْيَدْعُ نَادِيَهُ","Låt honom kalla på sina hejdukar"
225,"الزَّبَانِيَةَ","العلق (18)","ملائكة العذاب","Helvetesvakter","سَنَدْعُ الزَّبَانِيَةَ","Vi skall kalla på helvetesvakter"
226,"الْقَدْرِ","القدر (1)","الشرف/التقدير","Allmakten","لَيْلَةِ الْقَدْرِ","Allmaktens Natt"
227,"مَطْلَعِ","القدر (5)","بزوغ","Gryningen","حَتَّىٰ مَطْلَعِ الْفَجْرِ","till dess gryningen bryter in"
228,"مُنفَكِّينَ","البينة (1)","تاركين (دينهم)","Lämna","لَمْ يَكُنِ ... مُنفَكِّينَ","skulle inte lämna [sin tro]"
229,"مُطَهَّرَةً","البينة (2)","منزهة","Rena","يَتْلُو صُحُفًا مُّطَهَّرَةً","som läser upp [ur] rena blad"
230,"قَيِّمَةٌ","البينة (3)","مستقيمة","Av evigt värde","فِيهَا كُتُبٌ قَيِّمَةٌ","med skrifter av evigt värde"
231,"الْبَرِيَّةِ","البينة (6)","الخلق","Skapade varelser","أُولَٰئِكَ هُمْ شَرُّ الْبَرِيَّةِ","de är de sämsta av alla skapade varelser"
232,"زِلْزَالَهَا","الزلزلة (1)","هزتها","Skalv","إِذَا زُلْزِلَتِ الْأَرْضُ زِلْزَالَهَا","När jorden skälver i sitt sista skalv"
233,"أَثْقَالَهَا","الزلزلة (2)","ما في بطنها","Bördor","وَأَخْرَجَتِ الْأَرْضُ أَثْقَالَهَا","och jorden kastar upp sina bördor"
234,"أَشْتَاتًا","الزلزلة (6)","متفرقين","Spridda hopar","يَصْدُرُ النَّاسُ أَشْتَاتًا","människorna stiga fram i spridda hopar"
235,"مِثْقَالَ","الزلزلة (7)","وزن","Vikt","فَمَن يَعْمَلْ مِثْقَالَ ذَرَّةٍ","Den som har gjort så mycket som ett stoftkorns vikt"
236,"الْعَادِيَاتِ","العاديات (1)","الخيل المسرعة","Stridshästarna","وَالْعَادِيَاتِ ضَبْحًا","VID DE flämtande stridshästarna"
237,"ضَبْحًا","العاديات (1)","صوت الأنفاس","Flämtande","وَالْعَادِيَاتِ ضَبْحًا","VID DE flämtande stridshästarna"
238,"الْمُورِيَاتِ","العاديات (2)","الموقدات للنار","Slår eld","فَالْمُورِيَاتِ قَدْحًا","som slår eld [ur marken]"
239,"قَدْحًا","العاديات (2)","ضرباً بالحافر","Slår eld","فَالْمُورِيَاتِ قَدْحًا","som slår eld [ur marken]"
240,"الْمُغِيرَاتِ","العاديات (3)","المهاجمات","Anfaller","فَالْمُغِيرَاتِ صُبْحًا","som anfaller på morgonen"
241,"نَقْعًا","العاديات (4)","غباراً","Moln av damm","فَأَثَرْنَ بِهِ نَقْعًا","och river upp moln av damm"
242,"لَكَنُودٌ","العاديات (6)","جحود","Otacksam","إِنَّ الْإِنسَانَ لِرَبِّهِ لَكَنُودٌ","att människan är djupt otacksam mot sin Herre"
243,"بُعْثِرَ","العاديات (9)","أثير وأخرج","Vänds upp och ned","إِذَا بُعْثِرَ مَا فِي الْقُبُورِ","när gravarna vänds upp och ned"
244,"حُصِّلَ","العاديات (10)","جمع وكشف","Uppenbaras","وَحُصِّلَ مَا فِي الصُّدُورِ","och vad som göms i människornas bröst uppenbaras"
245,"الْقَارِعَةُ","القارعة (1)","القيامة","Det dånande slaget","الْقَارِعَةُ","Det dånande slaget"
246,"الْمَبْثُوثِ","القارعة (4)","المنتشر","Kringströdda","كَالْفَرَاشِ الْمَبْثُوثِ","som kringströdda mott"
247,"الْعِهْنِ","القارعة (5)","الصوف","Ull","كَالْعِهْنِ الْمَنْفُوشِ","som kardad ull"
248,"الْمَنْفُوشِ","القارعة (5)","المفرق","Kardad","كَالْعِهْنِ الْمَنْفُوشِ","som kardad ull"
249,"هَاوِيَةٌ","القارعة (9)","قعر النار","Avgrund","فَأُمُّهُ هَاوِيَةٌ","har avgrunden till moder"
250,"أَلْهَاكُمُ","التكاثر (1)","شغلكم","Distraherar","أَلْهَاكُمُ التَّكَاثُرُ","BEGÄRET att få mer och mer distraherar er"
251,"زُرْتُمُ","التكاثر (2)","متم ودفنتم","Vilar","حَتَّىٰ زُرْتُمُ الْمَقَابِرَ","ända till dess ni vilar i era gravar"
252,"الْجَحِيمَ","التكاثر (6)","النار","Helvetet","لَتَرَوُنَّ الْجَحِيمَ","Ni skall sannerligen få skåda helvetet"
253,"النَّعِيمِ","التكاثر (8)","ملذات الدنيا","Det goda","عَنِ النَّعِيمِ","om det goda [som livet skänkte er]"
254,"الْعَصْرِ","العصر (1)","الدهر","Tiden","وَالْعَصْرِ","VID TIDEN"
255,"خُسْرٍ","العصر (2)","هلاك","Förlust","إِنَّ الْإِنسَانَ لَفِي خُسْرٍ","är människans lott förlust"
256,"تَوَاصَوْا","العصر (3)","أوصى بعضهم","Råder varandra","وَتَوَاصَوْا بِالْحَقِّ","och som råder varandra att hålla fast vid sanningen"
257,"هُمَزَةٍ","الهمزة (1)","مغتاب","Smädare","وَيْلٌ لِّكُلِّ هُمَزَةٍ","VE OCH FÖRDÄRV över varje smädare"
258,"لُمَزَةٍ","الهمزة (1)","عياب","Baktalare","لِّكُلِّ هُمَزَةٍ لُّمَزَةٍ","varje smädare, varje baktalare"
259,"عَدَّدَهُ","الهمزة (2)","أحصاه","Räknar","جَمَعَ مَالًا وَعَدَّدَهُ","samlar rikedomar och räknar dem"
260,"أَخْلَدَهُ","الهمزة (3)","خلد ذكره","Odödlig","أَنَّ مَالَهُ أَخْلَدَهُ","att hans rikedom skall göra honom odödlig"
261,"الْحُطَمَةِ","الهمزة (4)","النار المحطمة","Krossaren","لَيُنبَذَنَّ فِي الْحُطَمَةِ","han skall sannerligen kastas i Krossaren"
262,"الْمُوقَدَةُ","الهمزة (6)","المشتعلة","Tänd","نَارُ اللَّهِ الْمُوقَدَةُ","Det är Guds eld, tänd [av Honom]"
263,"مُؤْصَدَةٌ","الهمزة (8)","مغلقة","Sluter sig","عَلَيْهِم مُّؤْصَدَةٌ","skall sluta sig omkring dem"
264,"عَمَدٍ","الهمزة (9)","أعمدة","Pelare","فِي عَمَدٍ مُّمَدَّدَةٍ","fastbundna vid höga pelare"
265,"تَضْلِيلٍ","الفيل (2)","إبطال وخسارة","Gick om intet","كَيْدَهُمْ فِي تَضْلِيلٍ","fick Han inte deras listiga planer att gå om intet"
266,"أَبَابِيلَ","الفيل (3)","جماعات","Svärmar","طَيْرًا أَبَابِيلَ","svärmar av fåglar"
267,"سِجِّيلٍ","الفيل (4)","طين متحجر","Bränd lera","بِحِجَارَةٍ مِّن سِجِّيلٍ","stenar av bränd lera"
268,"عَصْفٍ","الفيل (5)","زرع يابس","Uppätet strå","كَعَصْفٍ مَّأْكُولٍ","som liknade uppätna strån"
269,"إِيلَافِ","قريش (1)","اعتياد","Skydd / Vana","لِإِيلَافِ قُرَيْشٍ","TILL SKYDD för Quraysh"
270,"رِحْلَةَ","قريش (2)","سفر","Vinter- och sommarfärder","رِحْلَةَ الشِّتَاءِ وَالصَّيْفِ","under deras vinter- och sommarfärder"
271,"أَطْعَمَهُم","قريش (4)","رزقهم الطعام","Ger dem mat","الَّذِي أَطْعَمَهُم مِّن جُوعٍ","Han som ger dem mat i hungerns tid"
272,"يَدُعُّ","الماعون (2)","يدفع بقسوة","Stöter bort","فَذَٰلِكَ الَّذِي يَدُعُّ الْيَتِيمَ","Det är han som stöter bort den faderlöse"
273,"يَحُضُّ","الماعون (3)","يحث","Uppmanar","وَلَا يَحُضُّ عَلَىٰ طَعَامِ","och som inte uppmanar att ge den fattige mat"
274,"سَاهُونَ","الماعون (5)","غافلون","Försumliga","عَن صَلَاتِهِمْ سَاهُونَ","de som är försumliga med sin bön"
275,"الْمَاعُونَ","الماعون (7)","الشيء القليل","Det nödvändigaste","وَيَمْنَعُونَ الْمَاعُونَ","och vägrar även det nödvändigaste"
276,"الْكَوْثَرَ","الكوثر (1)","الخير الكثير","Det goda i överflöd","إِنَّا أَعْطَيْنَاكَ الْكَوْثَرَ","VI HAR sannerligen gett dig det goda i överflöd"
277,"انْحَرْ","الكوثر (2)","اذبح","Slakta","فَصَلِّ لِرَبِّكَ وَانْحَرْ","Be därför till din Herre och slakta [ditt offer]"
278,"شَانِئَكَ","الكوثر (3)","مبغضك","Den som hatar dig","إِنَّ شَانِئَكَ","Den som hatar dig"
279,"الْأَبْتَرُ","الكوثر (3)","المقطوع","Bortglömd","هُوَ الْأَبْتَرُ","är sannerligen den som skall bli bortglömd"
280,"الْكَافِرُونَ","الكافرون (1)","الجاحدون","Förnekarna","قُلْ يَا أَيُّهَا الْكَافِرُونَ","SÄG: Ni som förnekar sanningen"
281,"أَعْبُدُ","الكافرون (2)","أخضع وأذل","Dyrkar","لَا أَعْبُدُ مَا تَعْبُدُونَ","Jag dyrkar inte vad ni dyrkar"
282,"دِينُكُمْ","الكافرون (6)","شرككم","Er tro","لَكُمْ دِينُكُمْ","Ni har er tro"
283,"نَصْرُ","النصر (1)","عون","Hjälp","جَاءَ نَصْرُ اللَّهِ","Guds hjälp kommer"
284,"الْفَتْحُ","النصر (1)","فتح مكة","Segern","نَصْرُ اللَّهِ وَالْفَتْحُ","Guds hjälp kommer och segern"
285,"أَفْوَاجًا","النصر (2)","جماعات","I skaror","فِي دِينِ اللَّهِ أَفْوَاجًا","ansluta sig till Guds religion i skaror"
286,"تَبَّتْ","المسد (1)","خسرت","Förgås","تَبَّتْ يَدَا أَبِي لَهَبٍ","MÅ ABU LAHEB förgås"
287,"أَغْنَىٰ","المسد (2)","نفع ودفع","Hjälpa","مَا أَغْنَىٰ عَنْهُ مَالُهُ","Vad kan hans rikedom hjälpa honom"
288,"لَهَبٍ","المسد (3)","شعلة نار","Flammande","نَارًا ذَاتَ لَهَبٍ","en flammande eld"
289,"جِيدِهَا","المسد (5)","عنقها","Halsen","فِي جِيدِهَا","och om halsen"
290,"مَّسَدٍ","المسد (5)","ليف خشن","Tvinnade fibrer","حَبْلٌ مِّن مَّسَدٍ","ett rep av tvinnade fibrer"
291,"أَحَدٌ","الإخلاص (1)","واحد","Den Ende","قُلْ هُوَ اللَّهُ أَحَدٌ","SÄG: Han är Gud, den Ende"
292,"الصَّمَدُ","الإخلاص (2)","المقصود للحوائج","Den Evige","اللَّهُ الصَّمَدُ","Gud, den Evige"
293,"كُفُوًا","الإخلاص (4)","مماثلاً/نظيراً","Jämlike","وَلَمْ يَكُن لَّهُ كُفُوًا أَحَدٌ","och ingen finns som kan liknas vid Honom"
294,"الْفَلَقِ","الفلق (1)","الصبح","Gryningens","بِرَبِّ الْفَلَقِ","Gryningens Herre"
295,"غَاسِقٍ","الفلق (3)","ليل مظلم","Mörkret","وَمِن شَرِّ غَاسِقٍ","och mot det onda i mörkret"
296,"وَقَبَ","الفلق (3)","دخل ظلامه","Sänker sig","إِذَا وَقَبَ","när det sänker sig"
297,"النَّفَّاثَاتِ","الفلق (4)","الساحرات","De som blåser","وَمِن شَرِّ النَّفَّاثَاتِ","och mot det onda hos dem som blåser"
298,"الْعُقَدِ","الفلق (4)","ما يعقد للسحر","Knutar","فِي الْعُقَدِ","på knutar"
299,"الْخَنَّاسِ","الناس (4)","المختفي","Den som drar sig undan","الْوَسْوَاسِ الْخَنَّاسِ","viskaren som drar sig undan"
300,"الْجِنَّةِ","الناس (6)","الجن","Osynliga väsen","مِنَ الْجِنَّةِ وَالنَّاسِ","av osynliga väsen och människor"
